Geography,Age group,Sex,Characteristics,Year,Diabetes,DiabetesPercent,Cpi,FoodInsecure,FoodInsecureSevere
Canada,"Total, 12 years and over",Both sexes,Number of persons,2018,"2,237,800",7.1,131.7,16.8,11.6
Canada,"Total, 12 years and over",Both sexes,Number of persons,2019,"2,495,100",7.8,133.6,15.9,10.8
Canada,"Total, 12 years and over",Both sexes,Number of persons,2020,"2,285,200",7.1,136.8,15.7,11.2
Canada,"Total, 12 years and over",Both sexes,Number of persons,2021,"2,372,700",7.3,138.2,18.4,12.9
Canada,"Total, 12 years and over",Both sexes,Number of persons,2022,"2,579,400",7.8,145.3,22.9,16.9
Newfoundland and Labrador,"Total, 12 years and over",Both sexes,Number of persons,2018,"42,400",9.2,136.8,18.9,12
Newfoundland and Labrador,"Total, 12 years and over",Both sexes,Number of persons,2019,"48,300",10.6,137,17.7,12
Newfoundland and Labrador,"Total, 12 years and over",Both sexes,Number of persons,2020,"52,600",11.4,140,17.5,12.6
Newfoundland and Labrador,"Total, 12 years and over",Both sexes,Number of persons,2021,"44,300",9.6,142.1,22.5,15.1
Newfoundland and Labrador,"Total, 12 years and over",Both sexes,Number of persons,2022,"57,500",12.4,147.8,26,19.7
Prince Edward Island,"Total, 12 years and over",Both sexes,Number of persons,2018,"11,300",8.6,134.4,17.3,12.3
Prince Edward Island,"Total, 12 years and over",Both sexes,Number of persons,2019,"11,400",8.5,135,18.6,13.2
Prince Edward Island,"Total, 12 years and over",Both sexes,Number of persons,2020,"10,000",7.3E,139,16.5,10.7
Prince Edward Island,"Total, 12 years and over",Both sexes,Number of persons,2021,"12,200",8.7,139.7,23.6,15.1
Prince Edward Island,"Total, 12 years and over",Both sexes,Number of persons,2022,F,8.9,149.6,28.6,21.6
Nova Scotia,"Total, 12 years and over",Both sexes,Number of persons,2018,"68,700",8.3,133.5,20.9,15.5
Nova Scotia,"Total, 12 years and over",Both sexes,Number of persons,2019,"66,300",8,135,18,12.3
