Geography,Year,Alternative measures,"Measure of core inflation based on a factor model, CPI-common (year-over-year percent change) 2 3 4 5","Measure of core inflation based on a weighted median approach, CPI-median (year-over-year percent change) 2 3 6 7 8","Measure of core inflation based on a trimmed mean approach, CPI-trim (year-over-year percent change) 2 3 6 8 9","Measure of core inflation based on a weighted median approach, CPI-median (index, 198901=100) 2 3 6 7","Measure of core inflation based on a trimmed mean approach, CPI-trim (index, 198901=100) 2 3 6 9","Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes 10","Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada 10","Consumer Price Index (CPI), all-items excluding the effect of indirect taxes 11","Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes, seasonally adjusted 10","Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada, seasonally adjusted 10","Consumer Price Index (CPI), all-items excluding the effect of indirect taxes, seasonally adjusted 11"
Canada,2018,Jan-18,1.6,1.8,1.8,176.3,172.7,130.2,129.6,131.1,130.7,130.2,131.5
Canada,2018,Feb-18,1.7,1.9,2,176.5,173,131.1,130.5,131.9,131,130.5,131.9
Canada,2018,Mar-18,1.7,1.9,1.9,176.7,173,131.4,130.8,132.2,131.1,130.5,132.1
Canada,2018,Apr-18,1.8,2,1.9,177,173.3,131.5,130.9,132.6,131.2,130.6,132.1
Canada,2018,May-18,1.7,1.8,1.9,177.1,173.4,131.4,130.8,132.7,131.1,130.5,132.3
Canada,2018,Jun-18,1.8,1.9,1.9,177.4,173.8,131.5,130.9,132.9,131.3,130.7,132.5
Canada,2018,Jul-18,1.9,1.9,2.1,177.8,174.2,131.8,131.2,133.6,131.7,131.1,133.1
Canada,2018,Aug-18,1.9,1.9,2,178.1,174.5,131.9,131.3,133.5,131.9,131.3,133.2
Canada,2018,Sep-18,1.7,1.9,2,178.3,174.6,131.9,131.3,133,131.9,131.2,133.1
Canada,2018,Oct-18,1.8,1.9,2,178.6,174.9,132.4,131.8,133.4,132.2,131.6,133.5
Canada,2018,Nov-18,1.8,1.8,1.9,178.8,175.1,132.1,131.5,132.8,132.3,131.7,133.3
Canada,2018,Dec-18,1.7,1.8,1.9,179.1,175.5,131.8,131.2,132.8,132.6,132,133.6
Canada,2019,Jan-19,1.8,1.8,1.9,179.4,175.9,132.2,131.6,133,132.7,132.1,133.6
Canada,2019,Feb-19,1.9,2,2,180,176.4,133.1,132.5,133.9,133,132.4,134
Canada,2019,Mar-19,1.9,2,2.1,180.3,176.7,133.5,132.9,134.8,133.2,132.5,134.5
Canada,2019,Apr-19,2,1.9,2,180.4,176.8,133.5,132.9,135.1,133.4,132.8,134.8
Canada,2019,May-19,2.1,2.1,2.2,180.9,177.2,134.1,133.5,135.8,133.9,133.2,135.2
Canada,2019,Jun-19,2.1,2.1,2,181.1,177.3,134.1,133.5,135.5,134,133.3,135.2
Canada,2019,Jul-19,2.2,2,2,181.4,177.7,134.5,133.8,136.3,134.3,133.6,135.7
Canada,2019,Aug-19,2,2,2,181.7,178,134.4,133.8,136,134.4,133.7,135.7
Canada,2019,Sep-19,2.3,2,2.1,181.9,178.2,134.4,133.8,135.4,134.5,133.8,135.6
Canada,2019,Oct-19,2.3,2.1,2.1,182.3,178.5,134.9,134.2,135.9,134.6,134,136
Canada,2019,Nov-19,2.4,2.1,2.2,182.6,178.9,134.6,134,135.7,134.7,134.1,136
Canada,2019,Dec-19,2.3,2.1,2.1,182.9,179.1,134,133.3,135.7,134.8,134.1,136.5
Canada,2020,Jan-20,2.2,2,2,183,179.4,134.6,133.9,136,135.1,134.5,136.7
Canada,2020,Feb-20,2,1.8,1.9,183.3,179.7,135.5,134.9,136.7,135.6,134.9,136.9
Canada,2020,Mar-20,1.7,1.8,1.8,183.6,179.9,135.6,135,135.8,135.4,134.8,135.5
Canada,2020,Apr-20,1.7,1.9,1.8,183.8,180,135.1,134.5,134.9,135,134.4,134.8
Canada,2020,May-20,1.5,1.7,1.6,184,180,135,134.4,135.2,134.7,134,134.7
Canada,2020,Jun-20,1.5,1.8,1.8,184.4,180.5,135.6,135,136.3,135.4,134.7,135.7
Canada,2020,Jul-20,1.4,1.8,1.6,184.6,180.6,135.5,134.9,136.4,135.2,134.6,135.7
Canada,2020,Aug-20,1.5,1.8,1.6,184.9,180.9,135.5,134.9,136.1,135.4,134.8,136
Canada,2020,Sep-20,1.4,1.9,1.7,185.4,181.2,135.7,135,136,135.7,135,136.3
Canada,2020,Oct-20,1.7,2,1.8,185.9,181.8,136.3,135.7,136.6,136.1,135.4,136.6
Canada,2020,Nov-20,1.7,2,1.8,186.2,182.2,136.6,135.9,136.8,136.7,136,137.1
Canada,2020,Dec-20,1.6,2,1.8,186.5,182.3,136,135.3,136.5,136.9,136.2,137.6
Canada,2021,Jan-21,1.6,2.1,1.9,186.8,182.8,136.7,136,137.4,137.3,136.6,138.1
Canada,2021,Feb-21,1.6,2.1,2,187.2,183.3,137.1,136.5,138.1,137.3,136.7,138.4
Canada,2021,Mar-21,2,2.1,2.1,187.5,183.7,137.5,136.8,138.7,137.4,136.8,138.5
Canada,2021,Apr-21,2.1,2.3,2.4,188,184.3,138.2,137.5,139.2,138,137.3,139
Canada,2021,May-21,2.5,2.5,2.7,188.6,184.9,138.8,138.2,139.9,138.4,137.7,139.3
Canada,2021,Jun-21,2.5,2.5,2.8,189.1,185.5,139.2,138.6,140.3,139,138.3,139.7
Canada,2021,Jul-21,2.7,2.8,3.2,189.7,186.4,140,139.4,141.1,139.6,138.9,140.4
Canada,2021,Aug-21,2.9,3,3.4,190.4,187,140.3,139.6,141.5,140.1,139.5,141.2
Canada,2021,Sep-21,3,3,3.6,191,187.7,140.7,140.1,141.8,140.7,140,141.9
Canada,2021,Oct-21,2.9,3,3.5,191.4,188.2,141.5,140.8,142.8,141.2,140.5,142.7
Canada,2021,Nov-21,3.1,3.1,3.6,192,188.7,141.5,140.9,143,141.6,141,143.3
Canada,2021,Dec-21,3.2,3.3,3.9,192.7,189.5,141.5,140.9,142.9,142.4,141.8,144
Canada,2022,Jan-22,3.6,3.7,4.2,193.7,190.5,142.6,142,144.2,143.3,142.6,145
Canada,2022,Feb-22,4,4,4.5,194.6,191.5,143.7,143,145.6,144,143.4,146
Canada,2022,Mar-22,4.5,4.4,5,195.7,192.9,145.1,144.5,147.7,145,144.4,147.5
Canada,2022,Apr-22,4.9,4.8,5.3,197,194.1,146.1,145.4,148.6,145.9,145.3,148.5
Canada,2022,May-22,5.4,5,5.6,198.1,195.3,147.3,146.6,150.7,146.8,146.1,150
Canada,2022,Jun-22,5.5,5.1,5.7,198.8,196,147.8,147.1,151.6,147.5,146.9,151
Canada,2022,Jul-22,5.8,5.1,5.6,199.4,196.8,148.5,147.8,151.9,148,147.3,151.1
Canada,2022,Aug-22,5.8,4.9,5.4,199.7,197.1,148.5,147.9,151.3,148.3,147.7,151
Canada,2022,Sep-22,5.9,5.1,5.4,200.7,197.8,149.1,148.4,151.4,149,148.3,151.5
Canada,2022,Oct-22,5.9,5.3,5.5,201.6,198.5,149.7,149,152.6,149.4,148.7,152.5
Canada,2022,Nov-22,6.2,5.2,5.5,202,199.1,149.7,149,152.8,149.8,149.1,153
Canada,2022,Dec-22,6,5.1,5.3,202.6,199.5,149.2,148.5,151.8,150.2,149.5,152.9
Canada,2023,Jan-23,6.1,4.9,5.1,203.2,200.2,149.7,149,152.7,150.4,149.7,153.5
